Protein,Cluster
Chromosomal replication initiator protein DnaA,cluster3
Beta sliding clamp,cluster3
DNA replication and repair protein RecF,cluster3
hypothetical protein,cluster2
DNA gyrase subunit B,cluster3
DNA gyrase subunit A,cluster3
putative protein,cluster9
Cell wall synthesis protein CwsA,cluster3
Peptidyl-prolyl cis-trans isomerase A,cluster3
Cell division protein CrgA,cluster3
Anthranilate synthase component 2,cluster3
Serine/threonine-protein kinase PknB,cluster3
Serine/threonine-protein kinase PknA,cluster0
Penicillin-binding protein A,cluster3
putative FtsW-like protein,cluster7
PP2C-family Ser/Thr phosphatase,cluster4
FHA domain-containing protein FhaB,cluster3
FHA domain-containing protein FhaA,cluster3
Inosine-5-monophosphate dehydrogenase,cluster0
Transcriptional regulator WhiB5,cluster3
putative HTH-type transcriptional regulator,cluster7
putative proteinA,cluster4
Putative 8-amino-7-oxononanoate synthase 2,cluster3
Acyl carrier protein,cluster3
2-succinylbenzoate--CoA ligase,cluster4
putative MFS-type transporter,cluster4
Proline-rich 28 kDa antigen,cluster3
Leucine--tRNA ligase,cluster3
Pyrimidine monooxygenase RutA,cluster3
2-(acetamidomethylene)succinate hydrolase,cluster1
Inositol-3-phosphate synthase,cluster3
Penicillin-binding protein 1A,cluster3
Isonitrile hydratase,cluster3
30S ribosomal protein S6,cluster3
Single-stranded DNA-binding protein,cluster0
30S ribosomal protein S18 1,cluster0
50S ribosomal protein L9,cluster3
Replicative DNA helicase,cluster3
Endoglucanase A,cluster3
putative FAD-linked oxidoreductase YvdP,cluster3
Ribonuclease VapC9,cluster0
Isocitrate dehydrogenase [NADP] 2,cluster3
L-serine dehydratase,cluster3
Serine hydroxymethyltransferase 2,cluster3
putative ABC transporter permease,cluster0
putative ABC transporter ATP-binding protein,cluster4
Cystathionine beta-lyase,cluster3
Cis-3-alkyl-4-alkyloxetan-2-one decarboxylase,cluster3
Transposon Tn10 TetC protein,cluster3
Dormancy associated translation inhibitor,cluster3
Formate hydrogenlyase subunit 7,cluster3
Hydrogenase-4 component B,cluster3
Formate hydrogenlyase subunit 4,cluster3
Hydrogenase-4 component G,cluster6
5-methylthioadenosine/S-adenosylhomocysteine nucleosidase,cluster3
Copper-exporting P-type ATPase,cluster3
Putative dioxygenase,cluster3
Putative fatty-acid--CoA ligase FadD10,cluster3
D-alanine--D-alanyl carrier protein ligase,cluster3
Cation-transporting P-type ATPase B,cluster3
putative cation-transporting ATPase I,cluster0
