Protein,Cluster
GCF_000008585_1_ASM858v1_genomic',cluster7
GCF_000009445_1_ASM944v1_genomic',cluster2
GCF_000010685_1_ASM1068v1_genomic',cluster2
GCF_000016145_1_ASM1614v1_genomic',cluster5
GCF_000016925_1_ASM1692v1_genomic',cluster5
GCF_000023625_1_ASM2362v1_genomic',cluster1
GCF_000153685_2_ASM15368v2_genomic',cluster5
GCF_000154585_2_ASM15458v2_genomic',cluster1
GCF_000154605_2_ASM15460v2_genomic',cluster1
GCF_000159775_1_ASM15977v1_genomic',cluster9
GCF_000162975_1_ASM16297v1_genomic',cluster1
GCF_000162995_1_ASM16299v1_genomic',cluster1
GCF_000163015_1_ASM16301v1_genomic',cluster1
GCF_000177795_2_ASM17779v2_genomic',cluster5
GCF_000177815_2_ASM17781v2_genomic',cluster5
GCF_000177835_2_ASM17783v2_genomic',cluster5
GCF_000177875_2_ASM17787v2_genomic',cluster5
GCF_000177895_2_ASM17789v2_genomic',cluster5
GCF_000177915_2_ASM17791v2_genomic',cluster5
GCF_000177935_2_ASM17793v2_genomic',cluster5
GCF_000184005_1_ASM18400v1_genomic',cluster4
GCF_000184025_1_ASM18402v1_genomic',cluster4
GCF_000184045_1_ASM18404v1_genomic',cluster4
GCF_000190335_1_MT_CDC1551A_V1_genomic',cluster7
GCF_000193185_2_ASM19318v2_genomic',cluster4
GCF_000194015_1_ASM19401v2_genomic',cluster2
GCF_000194035_1_ASM19403v2_genomic',cluster2
GCF_000194055_1_ASM19405v2_genomic',cluster2
GCF_000195835_3_ASM19583v2_genomic',cluster2
GCF_000195955_2_ASM19595v2_genomic',cluster5
GCF_000220415_1_ASM22041v1_genomic',cluster5
GCF_000220435_1_ASM22043v1_genomic',cluster5
GCF_000220455_1_ASM22045v1_genomic',cluster5
GCF_000224435_1_ASM22443v1_genomic',cluster1
GCF_000234725_1_ASM23472v1_genomic',cluster2
GCF_000240245_1_MycTub_OSDD071_genomic',cluster5
GCF_000240265_1_MycTub_OSDD504_genomic',cluster3
GCF_000240285_1_MycTub_OSDD518_genomic',cluster5
GCF_000253355_1_ASM25335v1_genomic',cluster9
GCF_000256525_1_ASM25652v1_genomic',cluster4
GCF_000263135_1_H37RvCO4_genomic',cluster5
GCF_000270365_1_ASM27036v1_genomic',cluster4
GCF_000277735_2_ASM27773v2_genomic',cluster5
GCF_000291765_1_ASM29176v1_genomic',cluster3
GCF_000304555_1_Mt_UT205_genomic',cluster5
GCF_000313215_2_ASM31321v2_genomic',cluster5
GCF_000331445_1_ASM33144v1_genomic',cluster5
GCF_000338715_2_ASM33871v2_genomic',cluster2
GCF_000350205_1_ASM35020v1_genomic',cluster5
GCF_000364945_1_Mycibacterium_tuberculosis_SP21_genome_scaffolding_genomic',cluster3
GCF_000372545_3_MTB_PR05_version_2_genomic',cluster9
GCF_000400615_1_ASM40061v1_genomic',cluster4
GCF_000417925_1_fedora0202c_genomic',cluster5
GCF_000422125_1_ASM42212v1_genomic',cluster9
GCF_000442795_1_fedora0704i_IS_genomic',cluster5
GCF_000442945_1_fedora0201c_IS_genomic',cluster1
GCF_000442965_1_fedora0802c_IS_genomic',cluster1
GCF_000443005_1_fedora1005_IS_genomic',cluster1
GCF_000443305_1_fedora0203c_IS_genomic',cluster1
GCF_000443325_1_fedora0205e_IS_genomic',cluster1
GCF_000443345_1_fedora0206b_IS_genomic',cluster5
GCF_000443365_1_fedora0208e_IS_genomic',cluster5
GCF_000443405_1_fedora0209_IS_genomic',cluster1
GCF_000443425_1_fedora0207g_IS_genomic',cluster1
GCF_000443445_1_fedora0412_IS_genomic',cluster1
GCF_000443465_1_fedora0410_IS_genomic',cluster1
GCF_000443485_1_fedora0411_IS_genomic',cluster1
GCF_000443505_1_fedora0409_IS_genomic',cluster1
GCF_000443525_1_fedora0407b_IS_genomic',cluster1
GCF_000443545_1_fedora0405c_IS_genomic',cluster1
GCF_000443575_1_fedora0404_IS_genomic',cluster1
GCF_000443595_1_fedora0403_IS_genomic',cluster5
GCF_000443615_1_fedora0402_IS_genomic',cluster1
GCF_000443635_1_fedora0401c_IS_genomic',cluster1
GCF_000443655_1_fedora0317b_IS_genomic',cluster1
GCF_000443675_1_fedora0316c_IS_genomic',cluster7
GCF_000443695_1_fedora0315_IS_genomic',cluster5
GCF_000443715_1_fedora0314e_IS_genomic',cluster1
GCF_000443755_1_fedora0309c_IS_genomic',cluster5
GCF_000443795_1_fedora0313c_IS_genomic',cluster5
GCF_000443815_1_fedora0308g_IS_genomic',cluster1
GCF_000443835_1_fedora0307c_IS_genomic',cluster1
GCF_000443855_1_fedora0306b_IS_genomic',cluster1
GCF_000443875_1_fedora0304b_IS_genomic',cluster5
GCF_000443895_1_fedora0301c_IS_genomic',cluster7
GCF_000443915_1_fedora0305_IS_genomic',cluster7
GCF_000443935_1_fedora0311b_IS_genomic',cluster1
GCF_000445245_1_fedora0501_IS_genomic',cluster1
GCF_000445265_1_fedora0503_IS_genomic',cluster1
GCF_000445285_1_fedora0505_IS_genomic',cluster1
GCF_000445305_1_fedora0601c_IS_genomic',cluster1
GCF_000445325_1_fedora0602_IS_genomic',cluster1
GCF_000445345_1_fedora0603_IS_genomic',cluster1
GCF_000445365_1_fedora0604_IS_genomic',cluster1
GCF_000445515_1_fedora0605_IS_genomic',cluster4
GCF_000445535_1_fedora0606c_IS_genomic',cluster4
GCF_000445555_1_fedora0607c_IS_genomic',cluster1
GCF_000445575_1_fedora0609c_IS_genomic',cluster1
GCF_000445595_1_fedora0610c_IS_genomic',cluster1
GCF_000445615_1_fedora0611c_IS_genomic',cluster5
GCF_000445635_1_fedora0702f_IS_genomic',cluster1
GCF_000445655_1_fedora0703c_IS_genomic',cluster5
GCF_000445675_1_fedora0707_IS_genomic',cluster1
GCF_000445695_1_fedora0708c_IS_genomic',cluster5
GCF_000445715_1_fedora0801c_IS_genomic',cluster5
GCF_000445735_1_fedora0803c_IS_genomic',cluster1
GCF_000445755_1_fedora0804_IS_genomic',cluster1
GCF_000445775_1_fedora0805c_IS_genomic',cluster5
GCF_000445795_1_fedora0902c_IS_genomic',cluster5
GCF_000445815_1_fedora0903_IS_genomic',cluster1
GCF_000445835_1_fedora0904_IS_genomic',cluster1
GCF_000445855_1_fedora0906c_IS_genomic',cluster5
GCF_000445875_1_fedora0907c_IS_genomic',cluster5
GCF_000445895_1_fedora0908c_IS_genomic',cluster5
GCF_000445915_1_fedora0909_IS_genomic',cluster1
GCF_000445935_1_fedora1007_IS_genomic',cluster5
GCF_000445955_1_fedora1101e_IS_genomic',cluster5
GCF_000445975_1_fedora1006_IS_genomic',cluster1
GCF_000454325_1_FJXDR1',cluster3
GCF_000454345_1_GZXDR1',cluster5
GCF_000463175_1_BCG_Frappier_genomic',cluster2
GCF_000463195_1_BCG_Glaxo_genomic',cluster2
GCF_000463235_1_BCG_Phipps_genomic',cluster2
GCF_000463255_1_BCG_Prague_genomic',cluster2
GCF_000463275_1_BCG_Sweden_genomic',cluster2
GCF_000465305_1_MTB_43-16836_genomic',cluster9
GCF_000488915_1_MB04303v1_genomic',cluster2
GCF_000488935_1_MBAN5v1_genomic',cluster2
GCF_000509285_1_Mintra_1,cluster3
GCF_000512045_1_MTB-476_genomic',cluster5
GCF_000512065_1_MTB-489_genomic',cluster5
GCF_000516395_1_XDR1219_genomic',cluster3
GCF_000516415_1_WX3_genomic',cluster3
GCF_000516435_1_XDR1221_genomic',cluster3
GCF_000516455_1_WX1_genomic',cluster3
GCF_000524155_1_reference_map_genomic',cluster1
GCF_000524175_1_reference_map_genomic',cluster1
GCF_000526115_1_reference_map_genomic',cluster5
GCF_000568275_1_Mycobacterium_tuberculosis_HSZ10223_genomic',cluster3
GCF_000572125_1_ASM57212v1_genomic',cluster4
GCF_000572155_1_ASM57215v1_genomic',cluster4
GCF_000572175_1_ASM57217v1_genomic',cluster4
GCF_000572195_1_ASM57219v1_genomic',cluster4
GCF_000633085_1_Mycobacterium_tuberculosis_G-12-005_genome_genomic',cluster3
GCF_000649215_1_Myco_tube_2484AR_V1_genomic',cluster5
GCF_000649235_1_Myco_tube_2074CJ_V1_genomic',cluster5
GCF_000649255_1_Myco_tube_2230BH_V1_genomic',cluster5
